skill,external_relevance_weight,skill_group,source_note,source_type
python,2,Data,Motorsport and performance automotive technical skill reference,External domain reference
sql,1,Data,Motorsport and performance automotive technical skill reference,External domain reference
data analysis,2,Data,Motorsport and performance automotive technical skill reference,External domain reference
machine learning,2,Data,Motorsport and performance automotive technical skill reference,External domain reference
matlab,3,Engineering,Motorsport and performance automotive technical skill reference,External domain reference
simulink,3,Engineering,Motorsport and performance automotive technical skill reference,External domain reference
simulation,3,Engineering,Motorsport and performance automotive technical skill reference,External domain reference
cfd,3,Engineering,Motorsport and performance automotive technical skill reference,External domain reference
telemetry,3,Motorsport/Performance,Motorsport and performance automotive technical skill reference,External domain reference
vehicle dynamics,3,Motorsport/Performance,Motorsport and performance automotive technical skill reference,External domain reference
aerodynamics,3,Motorsport/Performance,Motorsport and performance automotive technical skill reference,External domain reference
powertrain,3,Motorsport/Performance,Motorsport and performance automotive technical skill reference,External domain reference
calibration,3,Motorsport/Performance,Motorsport and performance automotive technical skill reference,External domain reference
embedded,2,Engineering,Motorsport and performance automotive technical skill reference,External domain reference
data acquisition,3,Motorsport/Performance,Motorsport and performance automotive technical skill reference,External domain reference
