feature,importance
simulation,9.629642296628706
calibration,9.531426726132587
simulations,6.502554513124552
analytics,5.910796020819024
statistics,5.721125047305905
control systems,5.540406444736089
python,5.348793080754565
data acquisition,5.125276799621692
cfd,4.874319074831419
tableau,4.83682516203745
etl,4.773525090776358
matlab,4.5765876495404365
embedded,4.552062556089787
data visualization,4.4339739194883165
power bi,4.1028696061121375
powertrain,3.951444338502473
data analysis,3.9470423882923513
sql,3.642131766165813
simulink,3.4677259861995684
python sql,3.3694595168575954
calibrations,3.286673016884459
spark,3.0312923110343184
aerodynamics,3.027498725744303
matlab python,2.918109724399692
sql python,2.837470210086813
visualization,2.667320434335036
matlab simulink,2.397435731995635
python matlab,2.367330247720337
equipment calibration,2.144901991961051
simulation engineer,2.133297693890046
tableau power,2.08828919535978
mysql,2.0698858976927155
acquisition,1.98877710968734
bi tableau,1.9163280769858642
developer,1.862927799833704
bi,1.8227560346849103
embedded systems,1.7406586763777492
analysis sql,1.6772745964148144
fea cfd,1.6705169495877918
mathcad,1.6649154834928825
maintenance calibration,1.657736846127129
simulation software,1.6574552831832612
closedloopcontrol systems,1.6541032294131306
process simulation,1.5907241047853773
dynamics cfd,1.5071230523267394
pyspark,1.491144114513464
postgresql,1.4808791882382064
nosql,1.4690365397436036
java python,1.4522103021745576
telemetry,1.450254423268068
